Epoch: 0, Loss: 0.8385092272498241, Accuracy: 0.7416984213391399, Validation loss : 0.7257231036054095
Epoch: 1, Loss: 0.7284450640721438, Accuracy: 0.7732716385410996, Validation loss : 0.6892491299932783
Epoch: 2, Loss: 0.6982693415000542, Accuracy: 0.7825258573761568, Validation loss : 0.6869658849723779
Epoch: 3, Loss: 0.6736862457887902, Accuracy: 0.7890582471420795, Validation loss : 0.652223526104214
Epoch: 4, Loss: 0.6605345227123909, Accuracy: 0.796135002721829, Validation loss : 0.6388183917239851
Epoch: 5, Loss: 0.655496851033995, Accuracy: 0.791235710397387, Validation loss : 0.6533280159501388
Epoch: 6, Loss: 0.6460156927448503, Accuracy: 0.7953184540010887, Validation loss : 0.6577279768665166
Epoch: 7, Loss: 0.6562512254542187, Accuracy: 0.7958628198149156, Validation loss : 0.6623431986667293
Epoch: 8, Loss: 0.6469833661686648, Accuracy: 0.7965432770821992, Validation loss : 0.679121608704442
Epoch: 9, Loss: 0.6443518008195193, Accuracy: 0.7984485574305934, Validation loss : 0.6347949661306376
Epoch: 10, Loss: 0.6445219470966236, Accuracy: 0.7988568317909636, Validation loss : 0.6542122219554841
Epoch: 11, Loss: 0.6465859838954549, Accuracy: 0.7989929232444203, Validation loss : 0.7048182291306746
Epoch: 12, Loss: 0.6365535385083265, Accuracy: 0.7966793685356559, Validation loss : 0.6163679370164838
Epoch: 13, Loss: 0.6279461936473595, Accuracy: 0.8030756668481219, Validation loss : 0.6260624427812769
Epoch: 14, Loss: 0.6433913908848069, Accuracy: 0.7979041916167665, Validation loss : 0.70194442547294
Epoch: 15, Loss: 0.6413961038159214, Accuracy: 0.7964071856287425, Validation loss : 0.6510350854462038
Epoch: 16, Loss: 0.6337515190634095, Accuracy: 0.801578660860098, Validation loss : 0.6438444824519207
Epoch: 17, Loss: 0.6307782848363324, Accuracy: 0.800081654872074, Validation loss : 0.6064237656460129
Epoch: 18, Loss: 0.6218502394352224, Accuracy: 0.8060696788241698, Validation loss : 0.6365213278107138
Epoch: 19, Loss: 0.6279432657301511, Accuracy: 0.8045726728361459, Validation loss : 0.6469273888625136
Epoch: 20, Loss: 0.6298602626233636, Accuracy: 0.8033478497550354, Validation loss : 0.6200072907183114
Epoch: 21, Loss: 0.6244764498277924, Accuracy: 0.8053892215568862, Validation loss : 0.625107806843133
Epoch: 22, Loss: 0.6186566497208272, Accuracy: 0.8077027762656506, Validation loss : 0.614871384628182
Epoch: 23, Loss: 0.6152883804803665, Accuracy: 0.8077027762656506, Validation loss : 0.6181391779278599
Epoch: 24, Loss: 0.6201129763965861, Accuracy: 0.8055253130103429, Validation loss : 0.6170856315448295
Epoch: 25, Loss: 0.6230643648973319, Accuracy: 0.80647795318454, Validation loss : 0.6261321907471632
Epoch: 26, Loss: 0.6271170004250755, Accuracy: 0.8052531301034295, Validation loss : 0.6463408621628076
Epoch: 27, Loss: 0.6276819984669265, Accuracy: 0.8060696788241698, Validation loss : 0.7509298575276516
Epoch: 28, Loss: 0.630938906794098, Accuracy: 0.8047087642896026, Validation loss : 0.6163850562866507
Epoch: 29, Loss: 0.6169046142562377, Accuracy: 0.8070223189983668, Validation loss : 0.6571873605946382
Epoch: 30, Loss: 0.6193175695799915, Accuracy: 0.8060696788241698, Validation loss : 0.6186338780228825
Epoch: 31, Loss: 0.6187047506411103, Accuracy: 0.8083832335329342, Validation loss : 0.610121289521943
Epoch: 32, Loss: 0.6052880741220822, Accuracy: 0.8102885138813283, Validation loss : 0.6042762607593083
Epoch: 33, Loss: 0.6146307834977479, Accuracy: 0.8083832335329342, Validation loss : 0.6045648124429945
Epoch: 34, Loss: 0.6121756378104343, Accuracy: 0.8109689711486119, Validation loss : 0.6123137717060566
Epoch: 35, Loss: 0.6135210207781333, Accuracy: 0.8096080566140447, Validation loss : 0.6251351862826938
Epoch: 36, Loss: 0.6081658341199356, Accuracy: 0.8089275993467611, Validation loss : 0.6150184745474977
Epoch: 37, Loss: 0.6131006357425831, Accuracy: 0.809471965160588, Validation loss : 0.6217749416166546
Epoch: 38, Loss: 0.6977218066852847, Accuracy: 0.7887860642351661, Validation loss : 0.6498685407046194
Epoch: 39, Loss: 0.7197505146931138, Accuracy: 0.7729994556341862, Validation loss : 0.626151772099357
Epoch: 40, Loss: 0.6256921349357296, Accuracy: 0.8098802395209581, Validation loss : 0.6362340048555778
Epoch: 41, Loss: 0.6148563588972705, Accuracy: 0.8091997822536745, Validation loss : 0.6442725157794108
Epoch: 42, Loss: 0.6126576765912941, Accuracy: 0.8100163309744148, Validation loss : 0.6186357307895232
Epoch: 43, Loss: 0.6185190502534564, Accuracy: 0.8082471420794775, Validation loss : 0.6353269766610081
Epoch: 44, Loss: 0.6384119107169959, Accuracy: 0.8030756668481219, Validation loss : 0.6466921377609188
Epoch: 45, Loss: 0.6197108414778418, Accuracy: 0.8126020685900925, Validation loss : 0.6724589515853091
Epoch: 46, Loss: 0.6154448371216275, Accuracy: 0.807974959172564, Validation loss : 0.6150052401611849
Epoch: 47, Loss: 0.611052735869525, Accuracy: 0.8112411540555253, Validation loss : 0.630238038935586
Epoch: 48, Loss: 0.6241296617289884, Accuracy: 0.8085193249863909, Validation loss : 0.621320235051816
Epoch: 49, Loss: 0.6079077538372103, Accuracy: 0.8101524224278716, Validation loss : 0.6315539247353124
Epoch: 50, Loss: 0.6174341526805337, Accuracy: 0.8087915078933043, Validation loss : 0.642894770038592
Epoch: 51, Loss: 0.6121308942663609, Accuracy: 0.811377245508982, Validation loss : 0.6143704671691546
